#{"t_start": 1680811236.1065798, "env_id": null}
r,l,t
10270.0,2935,4.909249
2077.0,1177,7.315829
12375.0,4087,13.932327
6123.0,1754,16.406165
6172.5,2433,19.719555
2056.5,1117,21.236967
6133.0,1839,23.856997
4087.0,1142,25.729334
8187.0,2003,29.422102
6088.5,1618,32.613946
2060.0,1204,34.755292
10144.0,2265,38.031023
12322.5,3887,43.449074
4122.5,1384,45.455309
8165.5,2380,49.018784
12351.0,4043,56.97915
4094.5,1876,61.95969
8202.0,2619,65.336475
12321.0,4094,69.414316
16338.0,4497,73.663206
8217.5,2118,75.374236
54.5,1062,76.461386
4114.5,1583,78.899013
4087.5,1228,80.864472
8253.5,2914,84.788977
4082.0,1258,85.82199
8286.0,3776,89.393218
4142.0,2192,91.143095
2099.5,2071,92.916428
2090.0,1823,95.369223
10274.5,3079,102.987108
6148.0,2449,105.26432
67.0,1055,106.31089
4134.0,2589,108.860902
10159.0,2084,110.83343
64.0,1050,111.904224
8223.5,2391,119.550712
6151.0,1895,121.238384
16519.0,5312,126.396009
6162.5,2315,128.377267
4087.5,1295,129.642488
18419.0,4704,135.897304
10185.5,2446,138.95553
10215.5,2774,141.476099
6140.0,2192,143.575425
2070.0,1135,144.609032
6090.0,1704,146.143183
16343.5,3989,151.708991
4134.0,1660,154.234203
20560.5,6003,160.174513
16354.0,4080,163.980646
8148.5,2147,165.931075
16509.0,5343,170.934034
4060.5,1386,173.256308
6172.0,2322,179.860558
6184.0,2491,182.255639
46.0,1061,183.260576
10131.0,2213,185.345137
14289.5,3038,188.322058
12245.0,2540,192.479708
2073.5,1552,193.919446
12362.5,4085,199.244725
8121.0,1718,200.912323
12268.5,2713,203.317396
12355.5,4323,207.036446
20514.5,4547,210.937318
6159.5,1889,213.623343
4113.0,1623,215.987288
2066.0,1117,218.475472
20575.0,5350,223.064119
10279.5,3351,226.08645
2082.5,1138,227.036943
4110.5,1903,228.631456
12266.0,2778,232.968412
10189.5,2102,235.696116
16380.5,3786,239.466366
6115.0,1682,241.056863
10268.5,3233,243.892246
8105.0,1396,245.303524
16329.0,3015,247.975071
12238.0,2888,251.768964
8184.5,2126,256.362774
10217.5,2331,258.61759
24656.5,5938,264.047217
14355.5,5170,268.781422
14317.5,4041,272.382364
4082.0,1542,274.831271
12186.5,2066,281.875392
14371.5,4658,286.300414
18366.5,3628,289.493226
12243.5,3036,292.112393
20467.0,4478,296.367956
18326.5,3091,306.015225
20455.5,3975,309.765435
12183.0,1870,311.327454
2065.5,1134,312.319081
20493.5,4005,315.847647
22387.0,3521,321.06915
16347.0,3650,326.65745
28856.5,6378,332.784258
18344.5,3717,336.064746
10208.5,2490,338.084708
24622.5,5038,342.753196
14299.5,3198,347.012033
22580.0,5532,354.503782
16304.5,2638,357.083922
24536.0,4710,361.433253
18345.0,3530,364.565553
20413.5,3821,367.959353
26603.5,4540,374.333023
26705.5,5288,379.900826
20487.0,4231,383.706357
16251.5,2825,386.196491
20332.0,3538,389.609334
18311.5,3172,392.578183
12239.0,2418,396.412447
26732.5,5324,404.524436
24592.0,4112,408.275126
28802.5,5515,413.531307
14272.5,2347,415.813144
22578.5,4514,419.908289
24434.5,3563,425.084833
28500.5,3820,430.03545
22562.5,3882,433.453233
26719.5,4553,437.762189
18417.5,3746,441.207785
18463.5,4025,444.510901
16443.5,3429,454.892113
26450.0,2884,457.543132
24597.5,4888,462.068332
31060.0,6763,468.028482
22572.5,4355,472.017405
28618.5,3553,477.499639
24544.0,3846,482.757645
26761.5,5004,487.429099
16321.0,2695,489.994728
30888.5,5735,494.972445
34919.5,6326,500.775225
18291.5,2430,504.134448
20573.0,4560,512.522424
20498.5,3759,515.962721
26674.5,4913,520.287347
28648.0,4425,524.648112
28913.5,6160,530.274428
26626.5,4069,536.006707
28920.0,6116,542.554847
32799.0,4419,546.603374
20493.0,3635,549.635338
18443.0,2889,552.528162
28784.0,5180,557.401355
26688.0,4481,563.800717
22402.0,2736,567.363268
28735.5,4123,571.163574
29007.5,6592,577.410817
28898.0,5536,582.653487
28994.0,6390,588.150639
26586.0,3424,592.456652
28645.5,4528,598.80438
32832.5,4642,602.791402
28588.5,3816,606.111309
22378.0,2932,608.512995
26741.0,4754,613.036216
26478.5,3138,617.95986
28670.0,4335,623.490592
28662.0,3716,626.93538
30771.5,5204,631.330558
22522.0,3481,634.651507
28670.0,4663,639.10248
30692.5,4240,650.216178
22438.0,3129,652.974557
20411.0,3312,656.057172
26452.0,2726,658.456285
